V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
Rad51.M.C_GBL9026321	0.093	0.149	0.387	0.22	0.377	0.651	0.229	0.662	-0.326	-1.563	-0.097	0.404	-0.521	0.263	-0.088	0.174	0.671	0.028	0.315	-0.12
Rb.M.V_GBL9026323	-0.5385	-0.622	-0.53	0.2025	0.753	-0.556	-1.43	0.373	0.1205	1.025	-1.0725	0.044	0.0995	0.3645	-1.086	-0.0685	0.8925	-0.194	0.6075	-0.173
Rb_pS807_S811.R.V_GBL9026280	-0.642	-0.0244999999999999	0.037	0.142	-0.4165	-0.036	0.323	0.921	-0.2695	-1.6965	0.178	-0.6715	-0.143	0.5885	-0.135	-0.0455000000000001	-0.392	0.606	-0.7445	-0.0955
S6_pS235_S236.R.V_GBL9026281	0.517	-0.163	0.344	0.684	0.379	0.703	0.648	-1.334	-0.098	-0.139	0.031	0.883	-0.01	0.016	-0.214	-0.82	0.2	-0.538	-0.154	-0.18
S6_pS240_S244.R.V_GBL9026282	-0.574	0.217	0.086	0.344	-0.275	0.103	0.461	-0.588	0.086	-0.107	-0.08	0.013	-0.772	-0.442	-0.405	-0.774	-0.246	0.171	-0.956	-0.64
Smac.M.V_GBL9026324	-0.519	-0.708	-1.071	-0.688	1.285	0.045	-0.013	0.707	0.59	-0.092	-0.63	-0.345	-0.41	-0.976	-0.111	-0.926	-0.199	0.397	1.405	-0.308
Smad1.R.V_GBL9026283	-0.011	0.401	0.773	-0.419	1.01	-0.543	-0.411	-0.8	-0.999	0.509	-0.279	-0.588	-0.103	-0.202	0.466	-0.023	0.293	-1.492	-0.307	0.192
Smad3.R.V_GBL9026284	0.694	-0.483	0.547	-0.315	0.177	0.201	-0.689	0.22	0.134	0.08	-0.605	-0.306	-0.557	-0.35	-1.13	-0.532	0.14	-1.23	0.227	0.317
Smad4.M.V_GBL9026325	-0.255	0.295	-0.506	-0.602	-0.492	1.154	-0.061	-0.72	-0.7	-0.634	-0.787	-0.895	-0.409	0.342	-0.42	-0.04	0.3	0.278	-0.484	-0.438
Snail.M.C_GBL9026326	-0.205	0.0745	0.884	-0.072	-0.1075	0.1055	0.3185	1.1795	0.6675	-0.39	0.414	-0.2385	0.00499999999999998	0.3065	0.197	-1.0095	0.5295	1.136	-0.084	0.556
Src.M.V_GBL9026327	0.327	0.928	-0.291	2.08166817117217e-17	-0.093	-0.047	0.575	1.163	0.00200000000000001	0.172	0.391	0.465	-0.386	-0.049	-0.428	-0.321	-0.446	0.021	-0.234	1.267
Src_pY416.R.C_GBL9026285	0.2465	-0.356	-0.0135	-0.0245	-0.568	0.414	0.558	-0.155	-1.4975	1.0345	-0.687	0.023	-0.0535000000000001	-0.231	0.171	0.027	0.177	-0.012	0.114	-0.853
Src_pY527.R.V_GBL9026286	0.8535	-0.358	-0.0805	-1.1985	-0.48	0.603	0.662	-0.027	-0.2945	-0.9215	-0.177	0.444	-0.0545	-0.694	-0.761	-0.593	0.091	-0.524	0.355	0.373
STAT3_pY705.R.V_GBL9026287	0.068	0.305	0.248	0.549	-0.42	-0.046	-0.269	-0.105	0.255	-0.066	-1.264	-0.257	0.586	-0.0660000000000001	0.364	0.544	-0.844	1.017	0.48	0.362
STAT5.alpha.R.V_GBL9026288	0.066	-0.492	0.934	-0.49	0.293	0.293	-0.012	-0.415	0.126	0.786	0.863	-1.196	-0.19	-0.597	-0.683	0.181	0.142	1.068	-0.238	0.834
Stathmin.R.V_GBL9026289	-0.583	0.489	-0.32	-0.964	-0.819	-0.149	0.01	0.541	-0.381	0.131	1.073	0.953	-0.097	-0.561	0.358	-0.166	-1.049	0.144	-1.149	-0.665
Syk.M.V_GBL9026328	-0.171	-0.125	-0.364	-0.303	-0.428	-1.095	-0.341	-0.508	0.224	-0.362	0.396	0.193	0.154	0.333	0.25	0.224	-0.148	-0.348	-1.22	-1.205
Tau.M.C_GBL9026329	-0.445	-0.701	1.194	0.076	-0.796	-0.054	-0.342	-0.375	-0.16	-0.282	0.143	0.162	-0.02	-0.915	-0.223	1.196	0.318	-1.274	-0.285	-0.161
TAZ_pS89.R.C_GBL9026290	-0.588	0.288	-1.512	-0.23	0.27	-1.352	-0.607	-0.89	0.023	-0.541	0.282	-0.551	-0.235	-0.23	0.163	1.049	-0.223	0.0949999999999999	-0.26	-0.144
TFF1.R.V_GBL9026291	-0.0199999999999999	1.257	-1.2205	-0.2375	-0.9715	1.0525	1.358	0.1255	-0.395	-0.1355	0.6665	0.8235	0.2285	0.032	-0.2925	-0.5305	-0.471	-0.889	-0.347	-0.7645
TIGAR.R.V_GBL9026292	-0.048	-0.621	0.367	0.704	-1.084	0.288	-0.328	-0.244	0.388	0.444	-0.385	-1.91	-0.372	-1.106	0.631	0.482	0.326	0.972	-1.021	0.279
Tuberin.R.C_GBL9026293	-0.3175	0.014	-0.119	-0.488	-0.263	-0.5645	-1.42	0.461	1.2205	0.611	0.198	-1.0765	-0.114	0.4555	-0.3045	0.3355	-0.923	1.0935	-0.2925	-1.7995
VASP.R.C_GBL9026294	-0.423	0.142	-0.718	0.37	0.154	-1.157	-0.367	0.973	0.426	-0.657	0.167	-1.168	0.586	0.169	-0.315	0.52	0.015	-0.091	-1.108	-0.777
VEGFR2.R.V_GBL9026347	-0.184	0.948	-1.001	-0.073	0.014	-0.152	0.508	-0.459	0.267	-1.11	-0.594	-0.122	-0.288	0.483	0.291	-1.39	0.114	0.411	0.299	-0.658
XIAP.R.C_GBL9026296	0.179	0.287	-0.494	1.543	0.404	-0.0269999999999999	0.307	-0.896	0.784	0.203	0.101	0.161	-0.204	-0.218	-1.652	-0.06	-0.748	-0.696	-0.057	-0.678
XRCC1.R.C_GBL9026297	-0.196	0.648	-0.461	-0.108	-0.937	-0.908	0.483	-0.029	-0.028	-0.245	0.484	0.25	0.58	1.077	0.42	0.705	-0.051	0.734	-0.757	-0.151
YAP.R.V_GBL9026298	-0.014	-1.057	-0.254	-0.966	-0.899	0.314	0.318	-0.761	-0.476	0.11	-1.02	-0.234	-0.56	-0.051	-0.406	1.017	0.527	0.083	0.579	-1.109
YAP_pS127.R.C_GBL9026299	0.522	0.197	-0.462	0.569	-0.281	0.446	1.23	0.266	0.694	1.312	0.511	0.808	0.444	-0.136	-0.596	0.398	-0.163	-0.661	1.66	0.236
YB.1.R.V_GBL9026332	-0.938	0.415	0.479	-0.601	-0.486	0.122	-0.983	-0.07	0.162	-0.491	-0.678	0.204	-0.224	0.204	-0.075	-0.512	0.203	-0.691	-0.07	-0.677
YB.1_pS102.R.V_GBL9026333	-0.862	0.07	-0.146	-0.191	0.06	-0.774	-0.722	-0.055	1.195	1.21	0.12	0.798	0.252	0.02	-0.256	-0.129	-1.186	0.051	0.832	0.554
