"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30"
"98" 0.307 0.793 0.309 -0.103 -0.081 0.793 0.091 0.149 0.00299999999999999 0.237 0.965 0.501 0.395 0.537 0.065 0.195 0.241 1.053 0.131 -0.069 0.537 0.467 0.449 0.529 0.413 0.025 0.555 0.313 0.555 0.647
"99" 0.514 0.312 0.226 0.122 0.422 0.31 0.248 0.302 0.394 0.2 0.2 0.13 0.216 0.354 0.368 0.202 0.342 0.262 0.308 0.142 0.342 0.386 0.342 -0.064 0.038 -0.028 0.064 0.256 0.064 0.342
"100" -0.378 0.204 -0.392 -0.232 -0.034 -0.284 -0.378 0.294 0.19 -0.088 -0.194 -0.054 -0.326 -0.326 -0.172 0.19 0.044 -0.326 -0.178 0.196 -0.172 -0.128 0.19 -0.042 -0.106 -0.214 0.294 0.044 -0.232 -0.05
"101" -0.115 -0.033 0.091 -0.125 -0.033 0.011 -0.003 0.171 -0.181 -0.011 0.057 -0.103 0.015 0.057 0.059 -0.097 0.031 0.179 0.057 -0.013 -0.011 -0.123 0.155 -0.155 -0.059 -0.033 0.039 -0.059 -0.291 -0.087
"102" 1.026 0.216 0.846 0.472 1.108 0.574 0.61 0.312 0.176 0.756 0.746 0.018 0.63 0.59 0.946 0.176 0.618 0.172 1.108 1.032 0.872 1.044 1.032 0.91 0.43 0.706 0.83 0.018 0.63 0.71
"103" 0.121 0.469 0.265 -0.063 0.143 0.209 0.051 0.037 0.431 0.337 0.143 0.497 0.381 0.351 0.339 0.409 0.567 0.475 0.337 0.431 0.683 0.417 0.159 0.661 0.515 0.281 0.423 0.113 0.167 0.577
"104" -0.38 -0.978 -1.156 -0.988 -1.06 -0.624 -0.718 -1.008 -0.402 -0.612 -0.446 -1.228 -1.156 -0.718 -0.458 -0.896 -1.052 -0.64 -0.602 -0.574 -1.154 -0.602 -0.83 -0.74 -0.458 -0.57 -1.052 -1.122 -1.156 -1.154
"105" 0.502 0.888 0.346 0.896 0.554 -0.458 0.878 0.682 0.62 0.354 0.542 1.242 0.7 0.628 -0.19 1.046 0.888 0.492 0.218 0.69 0.628 1.148 0.628 1.232 0.692 0.896 0.69 0.63 0.284 0.95
"106" -0.058 0.26 -0.278 0.178 -0.056 0.18 0.31 0.142 -0.15 -0.094 0.084 0.336 0.204 0.24 0.438 -0.154 0.388 -0.094 0.2 0.438 -0.226 0.096 0.03 -0.094 0.266 0.242 0.03 0.254 -0.108 0.254
"107" 0.066 -0.066 0.228 0.18 0.104 0.13 0.242 0.138 0.048 0.058 0.01 0.066 0.18 0.166 0.176 -0.052 0.096 -0.15 0.098 0.256 -0.17 0.296 -0.184 0.234 -0.15 0.146 -0.008 0.242 0.2 0.02
"108" -0.109 -0.143 -0.075 -0.075 -0.117 -0.099 0.027 -0.099 0.101 -0.153 -0.031 -0.059 -0.031 -0.015 -0.241 0.027 -0.067 -0.241 0.009 -0.101 -0.253 -0.287 -0.159 -0.001 0.111 -0.241 0.111 -0.287 -0.287 0.095
"109" -0.548 -0.48 -0.378 -0.636 -0.836 -0.72 -0.756 0.062 -0.33 -1.342 -0.96 -0.508 -0.57 -0.57 -0.452 -0.87 -0.264 -0.768 -0.00400000000000002 -0.13 -0.576 -0.508 -1.342 -0.508 -0.69 -0.57 -1.016 -0.366 -0.214 -1.388
"110" -0.119 -0.053 0.319 0.159 0.109 0.393 0.233 0.375 0.107 0.305 0.027 0.175 0.129 -0.201 0.301 0.055 0.327 0.249 0.393 0.143 0.175 0.245 0.435 0.381 0.217 0.183 0.191 0.341 0.041 0.123
"111" 1.634 1.406 1.874 1.406 0.544 0.738 2.576 0.37 0.61 1.128 0.76 1.204 1.772 1.808 0.898 2.534 1.246 2.534 1.512 1.224 1.31 1.924 1.904 1.368 1.72 1.246 1.164 2.02 1.338 0.96
"112" 0.701 -0.041 0.211 0.311 0.577 0.663 0.311 0.701 0.887 0.921 0.605 -0.157 0.827 0.615 -0.119 0.585 1.045 0.701 0.527 0.793 0.419 0.867 0.979 0.701 -0.119 0.901 0.639 0.827 0.585 0.643
"113" 1.148 1.108 0.224 0.852 0.102 0.244 0.102 0.45 0.784 0.556 1.46 0.642 0.704 1.316 0.556 0.438 1.116 0.672 0.672 0.54 1.286 0.202 0.188 1.078 0.188 0.682 0.378 0.832 0.556 1.392
"114" 1.728 0.258 0.874 -0.12 1.046 0.606 0.54 1.098 0.836 1.15 0.638 1.216 0.856 0.77 1.12 1.15 1.624 0.856 1.374 0.266 1.098 0.534 0.156 0.00599999999999999 0.156 1.15 1.654 0.698 0.698 1.392
"115" 1.192 1.96 0.532 1.792 0.622 0.936 0.974 1.968 0.4 0.682 2.584 1.59 0.884 0.742 2.584 0.56 1.8 1.458 1.044 1.124 2.118 0.928 1.968 1.148 1.352 1.57 0.814 2.082 0.532 0.936
"116" 0.081 0.207 0.155 -0.143 0.223 0.015 -0.359 0.311 0.415 -0.047 -0.351 0.243 0.223 0.027 -0.149 0.319 0.081 0.065 0.141 -0.053 0.579 0.341 0.609 -0.055 -0.135 0.081 0.385 0.341 0.147 0.043
"117" -0.096 -0.122 -0.484 -0.228 -0.42 -0.084 0.16 -0.178 0.096 -0.476 0.108 -0.312 0.116 0.16 -0.146 0.026 -0.244 -0.426 -0.356 -0.484 -0.236 -0.148 -0.256 0.108 -0.14 -0.4 -0.178 -0.236 -0.064 0.084
"118" 0.022 -0.162 0.024 0.024 -0.064 -0.338 -0.036 -0.088 -0.168 -0.154 -0.118 -0.014 -0.142 -0.196 0.014 0.052 -0.192 -0.136 -0.128 0.004 -0.306 0.228 0.048 -0.234 -0.13 -0.122 -0.098 -0.064 -0.262 -0.314
"119" 1.08 0.0939999999999999 1.682 1.576 0.866 1.066 0.888 1.244 1.09 0.742 0.042 0.472 0.866 0.952 1.304 1.066 0.866 0.888 1.244 0.95 1.388 1.628 1.306 1.266 1.066 0.88 1.112 1.576 0.604 0.688
"120" -0.212 -0.338 0.318 0.182 -0.288 -0.174 -0.098 0.386 -0.034 0.028 -0.194 -0.02 0.366 -0.084 0.164 -0.246 0.08 -0.194 0.12 0.068 0.014 0.004 0.052 -0.042 -0.064 0.17 0.112 0.072 0.088 -0.212
"121" 0.128 -0.266 -0.232 -0.288 -0.042 -0.27 -0.208 0.064 -0.062 0.232 -0.398 -0.584 -0.046 -0.024 -0.208 -0.124 -0.232 -0.104 -0.394 -0.232 -0.456 -0.102 0.27 0.064 -0.44 -0.024 0.002 0.142 -0.496 -0.00400000000000001
"122" -0.069 0.035 -0.107 0.059 0.175 -0.139 -0.241 0.177 0.035 -0.009 0.037 0.045 0.065 -0.117 0.059 -0.041 -0.021 0.029 -0.181 -0.107 -0.023 -0.149 -0.021 0.021 -0.099 0.017 0.033 0.177 -0.139 0.023
"123" -0.225 -0.087 -0.00300000000000001 -0.207 -0.149 -0.081 -0.311 -0.163 -0.241 -0.071 -0.243 -0.063 -0.143 -0.185 0.063 -0.145 -0.037 -0.019 -0.243 -0.171 -0.159 -0.185 -0.307 -0.243 -0.307 -0.099 -0.00300000000000001 -0.247 -0.085 0.045
"124" -0.245 -0.141 0.059 -0.071 0.00699999999999999 -0.069 -0.00499999999999999 -0.049 -0.033 -0.101 -0.025 -0.00700000000000001 -0.049 -0.081 -0.071 0.117 0.221 -0.017 -0.125 0.009 0.057 -0.097 -0.057 -0.109 -0.069 -0.057 -0.165 -0.069 -0.019 -0.00700000000000001
"125" -0.511 -0.199 -0.691 0.00699999999999997 -0.487 -0.663 -0.201 -1.189 -0.841 -1.233 -0.663 0.391 -0.663 0.191 -0.649 -0.185 0.495 0.553 -0.295 -0.323 -0.677 0.029 -0.165 -0.529 -1.071 0.745 0.153 -0.863 0.015 -0.691
"126" -0.672 -0.824 -1.096 -1.332 -1.452 -2.156 -0.772 -1.726 -0.996 -1.016 -1.082 -0.6 -1.452 -1.84 -1.548 -0.932 -0.466 -1.396 -1.096 -0.982 -1.396 -1.26 -0.896 -2.156 -1.26 -0.702 -1.096 -0.822 -1.126 -0.53
"127" -0.965 -1.419 -1.017 -1.763 -0.431 -0.859 -0.815 -1.157 -1.081 -1.371 -1.855 -1.057 -0.471 -0.921 -1.585 -0.991 -0.359 -0.387 -1.037 -1.419 -1.113 -1.077 -1.057 -0.789 -1.719 -0.989 -0.673 -0.965 -1.101 -0.789
"128" 0.213 0.213 0.129 0.107 -0.087 -0.181 0.093 -0.309 -0.117 0.105 0.073 -0.245 0.189 0.213 -0.119 0.157 0.487 0.309 0.341 -0.119 0.307 0.233 0.329 -0.169 -0.149 -0.171 0.257 -0.129 0.189 0.571
"129" -0.162 -0.07 -0.098 -0.072 -0.34 -0.31 -0.148 -0.072 -0.114 -0.176 -0.02 0.058 -0.234 -0.226 -0.154 -0.206 -0.2 0.00600000000000001 -0.07 -0.376 -0.284 -0.15 -0.1 -0.468 -0.078 -0.256 -0.148 -0.376 -0.226 -0.076
"130" -0.228 -0.31 -0.472 -0.026 -0.164 -0.11 -0.11 -0.32 -0.25 -0.326 -0.444 -0.326 -0.248 -0.148 -0.396 -0.324 -0.304 -0.368 -0.336 -0.128 -0.162 -0.218 -0.426 -0.266 -0.362 -0.112 -0.21 -0.37 -0.278 -0.294
"131" -0.257 0.613 -0.267 0.229 0.117 -0.307 -0.073 -0.073 -0.323 0.585 0.091 0.347 0.631 0.603 -0.297 0.429 0.245 -0.011 0.105 0.703 0.413 -0.307 0.285 0.525 -0.339 -0.129 0.413 0.229 -0.057 0.239
"132" -0.35 0.00199999999999999 0.032 -0.128 -0.054 -0.288 -0.518 -0.084 -0.37 -0.178 -0.038 -0.26 -0.434 -0.308 -0.55 -0.406 -0.164 -0.296 -0.184 -0.248 -0.398 -0.032 -0.136 -0.1 -0.132 -0.434 -0.046 -0.252 -0.456 -0.128
"133" -0.799 -0.853 -0.717 -0.419 -0.839 -0.923 -0.839 -0.549 -1.139 -0.737 -0.773 -1.219 -0.717 -0.705 -1.291 -0.975 -1.089 -0.549 -0.705 -0.511 -1.089 -1.291 -1.199 -0.763 -0.853 -0.669 -0.845 -0.871 -0.795 -0.533
"134" -0.613 -0.539 -0.209 -0.779 -0.419 -0.597 -0.379 -0.569 -0.189 -0.171 -0.361 -0.463 -0.359 -0.403 -0.429 -0.545 -0.503 -0.575 -0.419 -0.485 -0.211 -0.411 -0.637 -0.591 -0.357 -0.571 -0.149 -0.423 -0.341 -0.357
"135" -0.354 -0.652 -0.168 -0.122 -0.4 -0.46 -0.24 -0.39 0.124 -0.578 -0.286 -0.46 -0.496 -0.42 0.196 0.058 -0.056 -0.09 0.046 -0.216 -0.61 -0.21 -0.204 0.026 -0.292 -0.236 -0.348 -0.42 -0.328 -0.316
"136" -1.747 -1.269 -2.475 -1.887 -1.823 -1.543 -2.091 -1.021 -1.423 -1.691 -1.093 -1.999 -1.081 -1.451 -1.193 -1.289 -1.247 -1.443 -2.321 -1.767 -1.169 -1.191 -1.193 -1.527 -1.081 -1.389 -1.247 -0.691 -1.691 -1.093
"137" -0.096 -0.492 -0.36 -0.21 -0.278 -0.372 -0.266 -0.286 -0.04 -0.21 -0.356 -0.232 -0.19 -0.38 -0.266 -0.044 -0.224 -0.126 -0.278 -0.386 0.024 -0.112 -0.492 -0.364 -0.13 -0.018 -0.356 0.024 -0.244 -0.352
"138" 0.005 0.339 0.505 0.255 0.455 0.365 0.277 0.231 0.369 0.245 0.261 0.165 0.349 0.379 0.295 0.135 0.205 0.201 0.581 0.181 0.409 0.335 0.447 0.795 0.157 0.091 -0.025 0.261 0.349 0.565
"139" -0.031 0.189 -0.033 0.113 0.095 0.059 0.279 0.159 0.241 0.181 0.235 0.045 0.029 0.235 0.323 0.103 0.181 -0.00100000000000001 0.301 0.095 -0.00699999999999999 0.073 0.307 0.227 0.109 0.117 0.065 0.115 0.353 -0.065
"140" 0.054 -0.23 0.358 0.474 -0.244 0.012 0.106 0.738 -0.042 0.344 -0.478 0.286 0.692 -0.244 0.638 -0.012 0.32 0.428 0.34 -0.23 0.428 -0.146 -0.39 0.87 0.386 0.266 0.196 0.97 0.36 -0.478
"141" -0.158 -0.182 -0.136 -0.154 -0.008 0.03 -0.124 -0.208 -0.172 0.032 -0.11 -0.18 -0.172 0.032 0.082 -0.092 -0.09 -0.128 -0.118 0.108 -0.106 0.032 -0.118 -0.208 -0.078 -0.092 -0.192 -0.212 -0.204 -0.09
"142" -0.177 -0.103 0.385 0.003 0.257 0.103 -0.329 0.267 0.183 -0.307 0.101 0.287 0.255 -0.175 0.297 0.357 0.465 0.323 -0.205 0.327 0.351 0.351 0.437 0.431 0.369 0.371 0.241 0.409 0.317 0.113
"143" 0.421 0.407 0.343 0.481 -0.021 0.505 0.301 -0.191 0.383 0.403 0.343 0.219 0.035 0.283 0.893 0.263 0.299 0.631 0.327 -0.073 0.829 0.221 -0.233 0.829 0.317 0.183 0.767 0.343 0.283 0.481
"144" 0.599 -0.019 0.219 0.017 -0.047 0.159 0.037 -0.219 0.599 0.367 0.229 0.093 0.341 0.589 0.589 0.283 0.423 0.111 0.265 0.423 0.00699999999999999 0.133 0.387 0.093 0.589 0.403 0.255 0.597 -0.093 0.481
"145" -0.526 -0.362 -0.316 -0.584 -0.422 -0.586 -0.17 -0.408 -0.696 0.014 -0.484 -0.402 -0.32 -0.292 -0.358 -0.296 -0.014 -0.654 -0.404 -0.63 -0.736 -0.862 -0.014 -0.734 -0.276 -0.388 -0.322 -0.584 -0.762 -0.752
"146" -0.868 -0.226 -0.34 -0.336 -0.826 -0.166 -0.812 -0.24 -1.058 -0.794 -1.382 -0.772 -0.18 -0.402 -0.586 -0.402 -0.898 -0.652 -0.868 -0.658 -0.176 -0.864 -0.328 -0.504 -1.018 -0.744 -0.964 -0.928 -0.712 -0.772
"147" -0.554 -0.026 -0.064 -0.162 -0.064 -0.542 -0.15 0.052 -0.146 -0.218 -0.35 0.128 -0.07 -0.598 0.118 -0.34 0.128 -0.142 -0.132 0.184 -0.35 -0.33 0.00199999999999999 -0.274 -0.158 -0.092 -0.34 -0.026 -0.08 0.128
"148" -0.253 0.00899999999999998 0.045 -0.009 0.015 0.115 0.017 -0.249 -0.017 0.213 -0.049 -0.049 0.213 0.307 -0.189 0.023 0.059 0.101 -0.249 0.023 0.163 0.041 0.015 -0.195 -0.189 0.101 -0.267 -0.049 -0.241 0.127
"149" -0.592 0.014 -0.27 0.2 0.038 0.14 0.066 0.148 0.25 -0.022 -0.646 -0.438 -0.196 -0.254 -0.096 -0.576 -0.402 -0.00999999999999999 -0.756 -0.27 -0.302 -0.216 0.148 0.298 -0.412 -0.00199999999999999 -0.646 -0.022 -0.222 0.2
"150" -0.263 -0.123 0.203 0.105 -0.039 -0.039 -0.347 -0.673 -0.027 -0.147 0.203 -0.055 -0.263 -0.069 -0.161 -0.039 -0.305 -0.081 -0.207 -0.053 -0.459 -0.241 -0.077 0.537 0.171 0.089 -0.371 -0.207 -0.081 -0.393
"151" -1.081 -0.293 -0.555 -0.765 -0.583 -0.621 -0.475 -0.845 -1.361 -0.963 -0.493 -0.959 -1.375 -1.313 -0.973 -0.711 -1.117 -0.439 -1.195 -1.393 -0.781 -0.977 -1.001 -0.881 -0.575 -1.117 -0.827 -0.385 -0.377 -0.669
"152" 0.044 0.136 0.116 -0.158 0.2 0.156 0.042 -0.036 -0.044 -0.006 1.73472347597681e-18 3.46944695195361e-18 0.314 0.156 0.358 0.116 -0.00199999999999999 0.156 3.46944695195361e-18 -0.014 -0.086 -0.086 -0.046 0.142 0.362 0.242 0.434 0.136 1.21430643318376e-17 1.73472347597681e-18
